E055	E056	E059	E061	E057	E058	E028	E027	E104	E095	E105	E065	E085	E084	E109	E106	E079	E094	gene_id	gene_name
High	Low	High	High	Low	High	High	Low	High	Low	Low	Low	High	High	Low	Low	Low	Low	ENSG00000055732	MCOLN3
Low	Low	High	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	High	High	High	ENSG00000055955	ITIH4
High	High	High	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	High	ENSG00000056558	TRAF1
Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	High	High	High	High	Low	High	ENSG00000056736	IL17RB
High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000057019	DCBLD2
Low	Low	High	Low	Low	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	ENSG00000057149	SERPINB3
Low	Low	Low	Low	High	High	High	High	High	High	High	Low	High	High	High	High	Low	High	ENSG00000057294	PKP2
High	High	Low	Low	High	High	High	High	Low	Low	Low	Low	High	High	High	High	High	High	ENSG00000057657	PRDM1
Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	High	High	High	High	High	Low	Low	ENSG00000057704	TMCC3
High	High	High	High	Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000058056	USP13
Low	Low	Low	Low	High	High	High	High	Low	High	Low	Low	High	High	High	High	Low	High	ENSG00000058085	LAMC2
