E055	E056	E059	E061	E057	E058	E028	E027	E104	E095	E105	E065	E085	E084	E109	E106	E079	E094	gene_id	gene_name
Low	Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000138642	HERC6
Low	Low	High	High	High	High	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	Low	Low	ENSG00000138646	HERC5
Low	Low	Low	Low	Low	Low	High	Low	High	High	High	Low	Low	Low	High	Low	Low	Low	ENSG00000138678	GPAT3
High	High	Low	Low	Low	Low	High	High	Low	High	High	High	Low	Low	Low	Low	Low	High	ENSG00000138685	FGF2
High	High	High	High	High	High	High	High	Low	Low	Low	High	High	High	Low	Low	Low	Low	ENSG00000138686	BBS7
High	High	Low	High	Low	High	High	High	High	High	High	Low	High	High	High	High	High	Low	ENSG00000138688	KIAA1109
High	High	Low	High	High	High	High	Low	Low	Low	Low	High	Low	Low	Low	Low	Low	Low	ENSG00000138698	RAP1GDS1
Low	Low	Low	Low	Low	Low	High	High	Low	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000138709	LARP1B
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	ENSG00000138722	MMRN1
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	ENSG00000138755	CXCL9
High	High	High	High	High	High	High	High	High	High	Low	High	High	High	Low	High	Low	Low	ENSG00000138756	BMP2K
Low	Low	Low	High	Low	Low	High	High	Low	Low	Low	High	High	High	Low	Low	High	Low	ENSG00000138764	CCNG2
Low	Low	High	High	Low	High	High	High	Low	High	High	High	High	High	High	High	Low	High	ENSG00000138767	CNOT6L
High	High	Low	Low	High	Low	Low	High	Low	Low	Low	Low	High	Low	High	High	Low	High	ENSG00000138771	SHROOM3
Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	Low	High	High	High	ENSG00000138772	ANXA3
High	High	Low	Low	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	ENSG00000138778	CENPE
High	High	High	High	High	High	High	High	Low	Low	Low	High	High	High	High	Low	High	High	ENSG00000138801	PAPSS1
High	High	Low	Low	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000138814	PPP3CA
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	ENSG00000138823	MTTP
High	High	Low	Low	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000138829	FBN2
High	High	High	Low	High	Low	Low	Low	High	High	High	High	Low	Low	High	High	Low	High	ENSG00000138835	RGS3
Low	Low	Low	Low	High	Low	High	Low	High	High	High	High	Low	Low	Low	High	Low	High	ENSG00000139044	B4GALNT3
Low	Low	Low	Low	Low	High	High	High	High	High	High	Low	Low	High	Low	Low	Low	Low	ENSG00000139116	KIF21A
High	High	High	High	High	High	High	High	Low	High	Low	Low	High	High	High	High	Low	High	ENSG00000139133	ALG10
Low	Low	Low	High	Low	Low	High	Low	High	High	Low	Low	High	Low	Low	Low	Low	Low	ENSG00000139160	ETFBKMT
High	High	High	High	Low	High	Low	High	Low	Low	Low	Low	High	High	High	High	Low	High	ENSG00000139163	ETNK1
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	ENSG00000139193	CD27
Low	Low	Low	Low	Low	Low	High	High	Low	Low	Low	Low	High	High	High	High	Low	High	ENSG00000139194	RBP5
High	High	High	Low	Low	Low	Low	High	Low	Low	Low	High	Low	High	High	High	High	Low	ENSG00000139200	PIANP
Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	High	High	Low	Low	Low	High	ENSG00000139219	COL2A1
High	High	Low	High	High	High	Low	High	Low	Low	Low	Low	High	High	High	High	High	High	ENSG00000139263	LRIG3
High	Low	Low	High	Low	High	High	Low	Low	Low	Low	High	Low	Low	Low	Low	Low	Low	ENSG00000139323	POC1B
High	High	Low	High	High	High	High	High	Low	High	High	Low	High	High	Low	Low	High	Low	ENSG00000139324	TMTC3
High	High	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	High	ENSG00000139329	LUM
High	High	High	High	Low	High	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	ENSG00000139354	GAS2L3
Low	High	High	High	High	Low	High	Low	High	Low	Low	High	High	High	High	High	Low	High	ENSG00000139410	SDSL
High	High	Low	High	High	High	High	Low	High	High	High	Low	High	High	Low	Low	High	High	ENSG00000139437	TCHP
Low	Low	High	High	Low	Low	Low	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000139438	FAM222A
Low	High	Low	High	High	High	Low	High	High	High	High	High	High	High	High	High	High	Low	ENSG00000139508	SLC46A3
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	High	High	Low	Low	High	ENSG00000139515	PDX1
Low	Low	High	High	High	High	High	Low	Low	High	Low	High	High	High	High	High	Low	High	ENSG00000139517	LNX2
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	Low	Low	ENSG00000139540	SLC39A5
High	High	High	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	ENSG00000139567	ACVRL1
Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	High	ENSG00000139597	N4BP2L1
Low	Low	High	High	Low	Low	High	Low	Low	Low	Low	Low	High	High	Low	High	High	Low	ENSG00000139626	ITGB7
High	High	Low	Low	High	High	Low	High	Low	Low	Low	High	High	High	High	High	Low	High	ENSG00000139629	GALNT6
Low	Low	Low	High	Low	High	Low	High	High	High	High	High	High	Low	High	High	High	Low	ENSG00000139679	LPAR6
High	High	High	High	High	High	High	High	Low	High	High	High	Low	Low	Low	Low	Low	High	ENSG00000139687	RB1
High	Low	High	High	Low	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	High	ENSG00000139793	MBNL2
Low	Low	High	High	Low	Low	Low	Low	High	High	High	High	High	Low	High	High	Low	High	ENSG00000139832	RAB20
Low	Low	Low	Low	High	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	ENSG00000139835	GRTP1
High	High	High	Low	Low	Low	Low	Low	High	Low	High	High	High	High	High	High	High	High	ENSG00000139874	SSTR1
Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	High	High	High	High	High	High	ENSG00000139914	FITM1
High	High	Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	ENSG00000139926	FRMD6
High	Low	Low	High	Low	High	Low	Low	High	High	High	High	High	High	High	High	Low	High	ENSG00000140043	PTGR2
High	High	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	Low	High	High	ENSG00000140092	FBLN5
High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	High	High	High	ENSG00000140104	C14orf79
High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000140153	WDR20
Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	ENSG00000140254	DUOXA1
High	High	Low	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000140262	TCF12
High	High	High	High	High	High	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	ENSG00000140263	SORD
Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	ENSG00000140274	DUOXA2
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	ENSG00000140279	DUOX2
Low	High	High	High	High	Low	Low	Low	Low	Low	Low	High	Low	Low	High	High	Low	High	ENSG00000140280	LYSMD2
Low	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	ENSG00000140284	SLC27A2
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	Low	High	High	ENSG00000140285	FGF7
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	High	High	Low	High	ENSG00000140297	GCNT3
Low	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	ENSG00000140323	DISP2
Low	Low	High	High	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	High	Low	High	ENSG00000140379	BCL2A1
High	High	High	High	High	High	High	High	High	High	Low	Low	High	Low	Low	Low	Low	Low	ENSG00000140443	IGF1R
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	ENSG00000140451	PIF1
High	High	High	High	High	High	High	High	Low	Low	Low	High	High	High	High	High	Low	High	ENSG00000140455	USP3
High	High	High	High	High	High	High	High	Low	High	High	Low	Low	Low	Low	Low	Low	High	ENSG00000140463	BBS4
Low	Low	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	ENSG00000140465	CYP1A1
High	High	High	High	High	High	High	High	Low	Low	Low	Low	High	High	Low	High	Low	Low	ENSG00000140471	LINS1
Low	Low	High	Low	High	Low	High	High	Low	High	High	High	Low	Low	High	High	High	Low	ENSG00000140511	HAPLN3
High	High	High	High	High	High	High	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	ENSG00000140525	FANCI
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000140534	TICRR
High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000140543	DET1
High	High	High	High	High	High	High	Low	Low	Low	Low	Low	High	High	High	High	High	High	ENSG00000140548	ZNF710
High	Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000140598	EFL1
High	Low	High	Low	Low	Low	High	Low	Low	Low	Low	Low	High	High	Low	Low	Low	Low	ENSG00000140675	SLC5A2
High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000140694	PARN
High	High	Low	Low	High	High	High	High	Low	Low	Low	High	High	High	Low	Low	Low	High	ENSG00000140743	CDR2
High	High	Low	High	High	High	High	High	Low	High	High	High	High	Low	High	Low	Low	High	ENSG00000140830	TXNL4B
Low	Low	Low	Low	High	High	High	High	Low	Low	Low	High	High	High	High	High	High	Low	ENSG00000140832	MARVELD3
High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000140836	ZFHX3
High	High	High	Low	High	Low	Low	Low	Low	Low	High	Low	Low	Low	High	High	High	Low	ENSG00000140853	NLRC5
Low	Low	Low	High	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	Low	High	ENSG00000140876	NUDT7
High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	ENSG00000140950	TLDC1
Low	Low	Low	Low	Low	Low	Low	Low	High	Low	High	Low	Low	Low	Low	Low	High	High	ENSG00000140955	ADAD2
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	Low	High	ENSG00000140968	IRF8
High	High	Low	High	High	High	High	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	ENSG00000141040	ZNF287
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	High	High	ENSG00000141052	MYOCD
High	High	High	High	High	High	High	High	Low	High	High	High	Low	Low	High	Low	Low	High	ENSG00000141076	UTP4
Low	Low	Low	Low	High	Low	Low	High	Low	Low	High	Low	Low	Low	Low	High	Low	Low	ENSG00000141086	CTRL
High	High	High	High	High	High	High	High	Low	High	High	Low	Low	Low	High	High	High	High	ENSG00000141098	GFOD2
High	Low	High	High	High	High	Low	High	High	High	High	Low	Low	Low	High	Low	Low	Low	ENSG00000141127	PRPSAP2
Low	Low	High	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	Low	High	ENSG00000141179	PCTP
High	High	High	High	High	High	High	High	Low	Low	Low	High	High	High	High	High	Low	High	ENSG00000141198	TOM1L1
High	High	High	High	High	High	High	High	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000141252	VPS53
High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000141294	LRRC46
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	Low	High	Low	ENSG00000141338	ABCA8
Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	High	High	High	Low	Low	Low	Low	ENSG00000141446	ESCO1
Low	Low	High	High	Low	Low	High	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	ENSG00000141447	OSBPL1A
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	ENSG00000141448	GATA6
Low	High	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	High	Low	ENSG00000141469	SLC14A1
Low	Low	Low	Low	Low	Low	High	High	Low	Low	Low	High	High	High	High	Low	Low	High	ENSG00000141497	ZMYND15
Low	Low	High	High	Low	Low	Low	Low	High	High	High	Low	High	High	Low	Low	Low	Low	ENSG00000141540	TTYH2
Low	High	High	High	High	Low	High	High	High	High	High	High	High	Low	Low	Low	High	High	ENSG00000141542	RAB40B
High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000141564	RPTOR
High	High	High	High	Low	Low	Low	Low	High	Low	Low	Low	Low	Low	High	High	Low	Low	ENSG00000141576	RNF157
Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	ENSG00000141579	ZNF750
High	High	High	High	High	High	Low	Low	Low	Low	Low	High	High	Low	High	Low	Low	High	ENSG00000141642	ELAC1
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	ENSG00000141655	TNFRSF11A
High	High	High	High	High	High	High	High	Low	High	High	Low	High	High	High	High	Low	Low	ENSG00000141664	ZCCHC2
High	High	High	Low	High	High	High	High	Low	Low	Low	Low	High	High	High	High	High	High	ENSG00000141682	PMAIP1
Low	High	High	Low	High	High	High	High	Low	Low	Low	Low	High	High	High	High	High	High	ENSG00000141738	GRB7
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	High	Low	High	High	ENSG00000141744	PNMT
Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	Low	Low	Low	Low	Low	Low	ENSG00000141750	STAC2
High	High	High	Low	High	High	High	High	Low	Low	Low	High	Low	Low	High	High	High	High	ENSG00000141934	PLPP2
Low	High	High	Low	High	Low	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000141956	PRDM15
High	High	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	High	High	High	Low	ENSG00000142197	DOPEY2
Low	Low	High	Low	High	High	Low	Low	Low	Low	Low	Low	High	Low	High	Low	High	High	ENSG00000142235	LMTK3
Low	Low	Low	Low	High	High	High	High	Low	Low	Low	High	High	High	High	High	High	High	ENSG00000142273	CBLC
High	High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	High	ENSG00000142279	WTIP
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	High	High	High	Low	ENSG00000142303	ADAMTS10
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	High	ENSG00000142484	TM4SF5
Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	ENSG00000142512	SIGLEC10
High	High	High	High	High	High	High	High	Low	High	Low	Low	High	Low	Low	Low	Low	Low	ENSG00000142528	ZNF473
Low	Low	Low	Low	Low	Low	High	High	Low	Low	Low	Low	High	High	Low	Low	Low	Low	ENSG00000142530	FAM71E1
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	Low	Low	ENSG00000142539	CTD-2545M3.6
High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	High	Low	High	High	ENSG00000142544	CTU1
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	ENSG00000142583	SLC2A5
High	High	High	High	High	High	Low	High	High	High	High	Low	Low	Low	Low	Low	High	Low	ENSG00000142599	RERE
High	High	High	High	High	Low	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	ENSG00000142655	PEX14
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	High	High	Low	Low	Low	Low	ENSG00000142661	MYOM3
Low	Low	Low	Low	High	High	High	High	Low	Low	High	High	High	High	High	High	High	High	ENSG00000142675	CNKSR1
Low	Low	Low	Low	High	High	Low	Low	Low	Low	Low	High	High	High	High	High	High	Low	ENSG00000142677	IL22RA1
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	High	High	High	High	High	Low	ENSG00000142731	PLK4
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	High	High	High	High	ENSG00000142748	FCN3
Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	High	High	High	High	High	High	ENSG00000142765	SYTL1
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	ENSG00000142794	NBPF3
Low	Low	High	High	Low	Low	Low	Low	High	High	Low	High	Low	High	Low	High	Low	High	ENSG00000142875	PRKACB
High	Low	High	High	Low	High	Low	Low	High	Low	Low	High	Low	Low	Low	Low	Low	Low	ENSG00000142892	PIGK
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	ENSG00000142945	KIF2C
High	High	High	Low	High	High	High	High	Low	Low	Low	High	High	High	High	High	High	High	ENSG00000142949	PTPRF
Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	High	High	High	High	High	Low	Low	ENSG00000142959	BEST4
Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	Low	Low	Low	High	Low	High	Low	ENSG00000142973	CYP4B1
Low	Low	High	High	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	ENSG00000143028	SYPL2
Low	Low	High	High	High	High	Low	High	Low	High	High	Low	High	High	High	High	High	High	ENSG00000143033	MTF2
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	High	ENSG00000143036	SLC44A3
Low	Low	High	High	High	High	High	Low	High	High	High	Low	High	High	High	High	High	Low	ENSG00000143061	IGSF3
High	High	High	High	High	Low	High	High	High	High	High	Low	High	High	Low	Low	Low	High	ENSG00000143067	ZNF697
Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	Low	High	High	High	High	High	ENSG00000143110	C1orf162
Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	ENSG00000143119	CD53
High	High	Low	Low	Low	Low	High	High	High	High	High	High	Low	Low	High	Low	High	Low	ENSG00000143127	ITGA10
High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000143147	GPR161
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	ENSG00000143167	GPA33
High	High	High	High	High	High	High	High	Low	High	High	High	Low	Low	High	High	Low	High	ENSG00000143179	UCK2
Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000143190	POU2F1
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	High	High	High	High	ENSG00000143196	DPT
Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	High	ENSG00000143217	NECTIN4
Low	Low	High	High	Low	Low	Low	Low	High	High	High	High	Low	Low	High	High	High	High	ENSG00000143226	FCGR2A
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	High	Low	Low	High	High	ENSG00000143248	RGS5
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	ENSG00000143318	CASQ1
High	High	Low	Low	High	High	High	High	Low	Low	Low	High	Low	High	Low	High	High	High	ENSG00000143320	CRABP2
High	High	High	High	High	High	High	High	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000143322	ABL2
Low	High	Low	Low	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000143324	XPR1
Low	Low	High	Low	Low	Low	Low	High	High	High	High	High	Low	High	High	High	High	High	ENSG00000143333	RGS16
High	Low	High	High	Low	High	High	Low	High	High	High	High	Low	Low	High	Low	High	High	ENSG00000143353	LYPLAL1
Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	Low	High	High	High	High	Low	High	ENSG00000143365	RORC
Low	Low	High	High	High	High	High	High	Low	Low	Low	Low	High	High	High	High	High	High	ENSG00000143367	TUFT1
Low	Low	Low	Low	High	Low	High	Low	Low	Low	Low	High	High	High	High	High	High	High	ENSG00000143375	CGN
High	High	High	Low	Low	Low	High	Low	Low	Low	Low	Low	High	High	Low	Low	Low	Low	ENSG00000143450	OAZ3
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000143476	DTL
High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000143479	DYRK3
High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000143493	INTS7
High	High	High	High	High	Low	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000143507	DUSP10
Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	Low	High	High	High	High	ENSG00000143546	S100A8
Low	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	High	Low	High	High	Low	Low	Low	ENSG00000143595	AQP10
High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000143614	GATAD2B
Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	Low	High	High	High	ENSG00000143632	ACTA1
High	High	High	High	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	ENSG00000143653	SCCPDH
Low	Low	High	High	Low	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000143669	LYST
Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	High	Low	High	Low	Low	High	ENSG00000143674	RP5-862P8.2
High	High	Low	High	High	High	Low	High	Low	Low	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000143702	CEP170
Low	Low	High	High	High	Low	Low	High	High	High	High	Low	Low	Low	High	High	High	Low	ENSG00000143772	ITPKB
High	High	Low	High	Low	High	High	High	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000143776	CDC42BPA
Low	Low	High	High	High	High	High	Low	Low	High	High	Low	Low	Low	Low	High	High	Low	ENSG00000143797	MBOAT2
Low	Low	Low	Low	High	Low	Low	Low	High	Low	Low	Low	High	High	High	High	High	High	ENSG00000143850	PLEKHA6
High	High	Low	Low	Low	Low	High	High	High	High	High	High	Low	High	High	High	High	High	ENSG00000143867	OSR1
Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	Low	High	High	Low	Low	High	Low	ENSG00000143882	ATP6V1C2
Low	Low	High	High	Low	Low	Low	Low	High	Low	Low	High	High	High	High	High	Low	High	ENSG00000143891	GALM
High	High	High	High	High	High	High	High	Low	Low	Low	High	High	High	High	High	Low	High	ENSG00000143924	EML4
Low	Low	Low	High	Low	High	Low	High	Low	Low	Low	High	High	Low	Low	Low	Low	High	ENSG00000143952	VPS54
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	ENSG00000143954	REG3G
High	High	High	High	High	High	High	High	Low	High	Low	Low	High	High	Low	Low	Low	Low	ENSG00000143970	ASXL2
High	High	Low	Low	Low	Low	Low	Low	Low	High	High	Low	Low	Low	Low	Low	High	Low	ENSG00000143995	MEIS1
High	High	High	High	Low	Low	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	ENSG00000144031	ANKRD53
Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	High	High	High	High	High	High	High	ENSG00000144045	DQX1
High	Low	High	High	High	High	Low	High	High	High	High	High	Low	Low	High	High	High	High	ENSG00000144115	THNSL2
High	Low	Low	High	Low	High	High	High	Low	High	Low	High	High	High	Low	High	Low	High	ENSG00000144228	SPOPL
Low	Low	High	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	Low	High	Low	ENSG00000144230	GPR17
High	High	High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	High	ENSG00000144283	PKP4
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	ENSG00000144354	CDCA7
Low	High	Low	Low	High	High	High	Low	Low	Low	Low	Low	Low	High	High	Low	Low	Low	ENSG00000144355	DLX1
Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000144357	UBR3
High	Low	Low	Low	Low	High	High	High	High	Low	Low	High	High	High	High	High	Low	High	ENSG00000144362	PHOSPHO2
Low	Low	High	High	High	Low	Low	Low	High	High	High	High	Low	Low	Low	High	Low	High	ENSG00000144401	METTL21A
High	High	Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000144468	RHBDD1
Low	Low	Low	Low	High	High	Low	Low	High	High	High	High	High	High	High	High	High	High	ENSG00000144476	ACKR3
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000144554	FANCD2
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000144559	TAMM41
Low	High	High	High	High	Low	High	High	High	Low	Low	High	Low	Low	High	High	High	High	ENSG00000144560	VGLL4
High	High	Low	Low	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000144583	MARCH4
Low	Low	High	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000144712	CAND2
Low	Low	High	High	Low	Low	Low	High	Low	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000144736	SHQ1
High	High	Low	Low	High	Low	Low	Low	High	Low	Low	High	Low	Low	Low	Low	Low	Low	ENSG00000144810	COL8A1
Low	Low	Low	Low	High	High	High	High	Low	High	High	High	Low	Low	Low	Low	Low	Low	ENSG00000144824	PHLDB2
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	Low	Low	ENSG00000144852	NR1I2
High	High	High	High	High	High	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	ENSG00000144857	BOC
Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	Low	Low	Low	Low	ENSG00000144908	ALDH1L1
High	High	Low	High	High	High	High	High	High	High	High	High	High	Low	Low	High	High	Low	ENSG00000144909	OSBPL11
High	High	Low	Low	High	High	High	High	High	High	High	Low	Low	Low	Low	High	Low	High	ENSG00000144959	NCEH1
High	High	High	High	Low	Low	High	High	Low	Low	Low	High	High	High	Low	Low	High	Low	ENSG00000145012	LPP
High	High	High	High	High	High	High	Low	Low	Low	High	Low	Low	Low	Low	High	Low	Low	ENSG00000145014	TMEM44
High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	ENSG00000145040	UCN2
High	High	High	High	High	High	High	High	Low	High	High	Low	High	High	High	High	Low	Low	ENSG00000145041	DCAF1
Low	Low	High	Low	High	High	Low	High	Low	High	High	Low	Low	Low	High	Low	Low	Low	ENSG00000145194	ECE2
